Distance_Feature,Speeding_Feature
71.24,28
52.53,25
64.54,27
55.69,22
54.58,25
41.91,10
58.64,20
52.02,8
31.25,34
44.31,19
49.35,40
58.07,45
44.22,22
55.73,19
46.63,43
52.97,32
46.25,35
51.55,27
57.05,26
58.45,30
43.42,23
55.68,37
55.15,18
43.84,22
59.26,32
37.14,41
64.3,29
45.75,16
45.97,23
56.04,39
33.64,45
41.67,33
50.68,39
54.22,35
56.2,29
46.16,41
50.22,24
49.66,33
38.61,37
55.28,36
57.87,41
61.69,12
37.41,21
53.83,32
62.98,22
46.97,13
58.03,24
59.87,36
81.34,31
48.56,26
17.66,23
46.01,21
45.34,26
39.64,31
51.22,36
36.21,31
47.32,55
54.87,27
58.97,6
57.3,42
59.94,32
61.72,25
53.19,23
35.13,38
48.47,20
51.17,43
42.14,39
54.31,35
48.93,32
53.51,44
51.72,24
49.86,10
49.2,41
60.2,39
54.06,20
72.91,30
61.92,40
44.2,24
60.75,39
68.36,37
56.39,20
38.19,15
66.19,27
58.2,17
47.55,22
37.62,16
17.81,26
31.25,29
61,41
40.98,33
53.69,24
51.46,9
64.57,29
53.79,23
64.28,34
38.41,24
58.89,42
44.17,33
50.41,43
63.63,28
45.78,24
55.61,20
67.23,5
49.69,38
54.6,30
40.94,59
43.84,36
56.36,19
69.53,23
51.48,19
52.93,41
55.52,8
52.14,23
62.86,21
37.53,33
63.47,25
62.11,33
43.52,25
47.97,27
42.27,37
56.05,30
62.08,37
35.25,53
39.81,25
60.27,33
53.41,22
56.28,27
53.31,25
55.24,30
44.97,29
40.3,43
47.18,42
46.4,34
35.11,15
54.33,38
54.59,64
61.67,50
52.39,19
52.37,6
40.84,25
27.42,27
44.79,31
59.84,37
36,45
47.64,10
51.85,37
59.73,15
42.96,37
51.84,27
59.62,23
58.82,30
50.93,30
41.35,23
24.58,45
57.74,22
38.14,33
51.82,20
41.37,17
55.01,24
64.56,53
46.09,35
57.81,20
46.31,23
66.62,37
42.89,17
40.82,23
50.55,41
40.43,40
53.36,25
44.83,27
35.87,35
46.95,23
47.75,20
57.12,26
38.03,43
54.31,45
50.29,39
33.6,24
45.13,44
31.68,31
72.36,4
48.43,55
44.48,36
56.54,20
54.11,50
49.51,29
50.66,36
61.82,23
50.45,15
67.7,43
41.61,12
39.63,31
36.08,31
45.18,27
49.33,28
48.66,45
53.81,25
35.57,44
48.83,39
69.14,40
60.75,59
52.01,39
47.88,45
40.3,30
48.52,30
55.06,37
48.45,28
58.65,40
69.29,21
51.7,21
69.95,18
53.04,37
47.97,27
64.01,26
61.76,23
49.98,28
81.96,27
56.56,25
51.69,30
54.83,40
54.97,39
44.07,27
45.95,40
42.24,22
43.52,49
51.33,31
56.68,55
51.06,24
41.95,28
53.56,27
47.86,45
43.74,34
41.22,39
45.82,42
44.74,25
53.88,30
44.4,29
59.01,35
53.27,19
45.62,25
53.16,53
50.91,51
33.53,42
46.92,33
59.24,35
48.37,32
50.26,21
38.14,30
63.42,26
57.46,14
63.79,33
58.13,30
56.35,41
52.95,3
55.65,27
29.44,34
49.58,39
31.3,33
43.48,29
48.94,34
43.93,32
53.83,36
53.69,21
60.33,8
40.97,42
49.29,21
56.06,34
66.16,32
32.61,23
37.37,25
46.04,38
57.17,33
41.06,31
47.21,36
55.74,44
56.34,25
61.53,11
61.4,38
59.03,29
26.76,22
48.24,34
50.84,33
64.25,28
23.06,15
47.25,23
59.19,33
32.71,17
48.87,25
58.68,24
51.16,25
49.48,34
16.05,36
53.49,51
57.19,19
49.38,37
38.82,16
49.88,37
48.81,30
58.86,42
45.22,39
49.25,25
71.53,49
49.41,38
63.19,21
48.68,22
50.11,34
43.56,24
49.36,23
23.03,21
36.14,30
37.48,26
46.35,35
41.54,27
66.05,36
47.09,27
33.84,35
41.45,37
56.09,9
54.66,34
53.23,47
53.51,33
48.56,37
35.91,30
58.04,28
37.16,19
42.45,16
62.65,41
51.42,35
46.31,22
51.36,33
63.62,41
56.54,39
48.58,36
30.37,37
51.75,37
61.68,24
56.54,33
41.22,13
46.08,35
53.21,39
57.95,21
53.4,45
50.32,40
62.06,37
32.9,36
43.48,15
47.76,25
41.61,4
28.72,37
53.37,40
37.81,34
48.7,46
53.23,40
43.47,33
64.55,30
59.34,38
29.92,49
45.67,39
44.99,36
51.07,13
57.87,38
57.9,34
45.41,32
66.97,33
49.37,40
49.54,21
51.73,61
29.68,30
66.12,38
52.68,30
50.32,46
63.2,40
45.12,25
38.69,22
50.77,32
48,23
55.36,47
53.11,48
38.51,28
38.96,21
27.4,30
34.95,35
